Date,subj,pol
2021-02-16,0.3833333333333333,0.2916666666666667
2021-02-17,0.4,0.4
2021-02-18,0.75,0.8
2021-02-19,0.75,0.8
2021-02-20,0.0,0.0
2021-02-21,0.2,0.0
2021-02-22,0.2854978354978355,0.16751443001443
2021-02-23,0.2854978354978355,0.16751443001443
2021-02-24,0.3277777777777778,0.24722222222222223
2021-02-25,0.43333333333333335,0.3666666666666667
2021-02-26,0.36875,0.21250000000000002
2021-02-27,0.36875,0.21250000000000002
2021-02-28,0.36875,0.21250000000000002
2021-03-01,0.0,0.0
2021-03-02,0.3666666666666667,0.26666666666666666
2021-03-03,0.21931818181818183,0.2340909090909091
2021-03-04,0.22272727272727275,0.06515151515151517
2021-03-05,0.0,0.0
2021-03-06,0.08333333333333333,0.0
2021-03-07,0.18173076923076925,0.025
