Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
30-11-21,0.125,0.034090909,0.344905303,0.224044508,0.273315368,0.022779491,0.35479112,0.196934596,0.324337264,0.147919532,0.262409812,0.059541847
01-12-21,0.410606061,0.090909091,0.370773133,0.190707437,0.257066949,0.057444264,0.343732756,0.208208911,0.323857613,0.152120204,0.352389845,0.117800407
02-12-21,0.24047619,0.119047619,0.422133762,0.15741858,0.279186237,0.103489899,0.301779473,0.201120346,0.334366491,0.154009608,0.30380334,-0.040909091
03-12-21,0.1,0.027272727,0.172408537,0.024695122,0.228589492,0.048272657,0.359631499,0.141880726,0.253543176,0.071616168,0.292724049,0.063919131
04-12-21,0.888888889,0.5,0.44428839,0.175655431,0.241536457,0.087865613,0.346231956,0.216315584,0.344018934,0.159945543,0.28487481,-0.014695215
05-12-21,0.888888889,0.5,0.393137657,0.079722098,0.218758155,0.110298429,0.407439989,0.248828247,0.3397786,0.146282925,0.388227513,0.168121693
06-12-21,0.257878788,0.036363636,0.272715834,0.079050523,0.286490034,0.092835336,0.399309848,0.09608474,0.319505239,0.089323533,0.308259837,0.052645862
07-12-21,0.187678571,0.097532468,0.4962425,0.153283778,0.20499883,0.073376623,0.340988585,0.128771943,0.347409972,0.118477448,0.439308176,0.104127358
08-12-21,0.345580808,0.05785124,0.287199921,0.119379947,0.2710348,0.093438065,0.320963393,0.057475961,0.293066038,0.090097991,0.249830879,0.057204706
09-12-21,0.243993506,0.092424242,0.206584935,0.060775497,0.271161572,0.107909563,0.214034398,0.079943831,0.230593635,0.082876297,0.41468254,0.104166667
10-12-21,0.174025974,0.04978355,0.244812925,0.051341648,0.241940255,0.025832461,0.236615548,0.065861237,0.24112291,0.047678449,0.371764706,0.033877005
11-12-21,0.238636364,0.034090909,0.215037594,0.029268484,0.129978666,0.057316701,0.280300397,0.126433929,0.208438886,0.071006371,0.219230769,0.069230769
12-12-21,0.290909091,0.081818182,0.200366569,0.061265885,0.13605007,0.070041688,0.356244553,0.134195752,0.230887064,0.088501108,0.348920455,0.055227273
13-12-21,0.262878788,0.097727273,0.228535789,0.058918495,0.205118755,0.004681272,0.411489524,0.045194188,0.281714689,0.036264652,0.232397004,0.06329588
14-12-21,0.223097042,0.11002886,0.143305322,0.037529921,0.172334559,0.044852941,0.282048178,0.104654636,0.199229353,0.062345833,0.30578824,0.06038961
15-12-21,0.281818182,0.108238636,0.249842195,0.009957912,0.179101448,0.075732536,0.401701172,0.098562825,0.276881605,0.061417758,0.248177261,0.053904648
16-12-21,0.25,0.189393939,0.217982804,0.051868859,0.253793765,0.119677603,0.328476623,0.115611201,0.266751064,0.095719221,0.348330827,0.087789474
17-12-21,0.061279461,0.004545455,0.167484779,0.061073059,0.232247432,0.050194118,0.29782399,0.077857071,0.232518734,0.063041416,0.244444444,0.032034632
18-12-21,0.173636364,0.070757576,0.246639482,0.141134984,0.154619048,0.057683862,0.302628618,0.138511861,0.234629049,0.112443569,0.165034965,0.057925408
19-12-21,0,0,0.203347701,0.070783046,0.230894777,0.110951683,0.293665025,0.071762662,0.242635835,0.08449913,0.2275,0.07375
20-12-21,0.116666667,0.056060606,0.303480292,0.039057872,0.282492654,0.102244261,0.341778114,0.036638636,0.309250353,0.05931359,0.272205285,0.057367886
21-12-21,0.392424242,0.134848485,0.221590909,0.09455887,0.331792822,0.038598503,0.287396865,0.073871587,0.280260199,0.069009653,0.420174304,0.037010347
22-12-21,0,0,0.206378164,0.026333119,0.28567046,0.024537544,0.423162428,0.204429672,0.30507035,0.085100112,0.463926499,0.131922953
23-12-21,0.383333333,0.033333333,0.235915152,0.090193939,0.354346626,0.069774439,0.306654823,0.088724975,0.2989722,0.082897784,0.343114953,0.115734001
