Date,DPI_subj_1,DPI_pol_1,DPI_subj_2,DPI_pol_2
2020-11-08,0.36636363636363634,0.3109090909090909,0.36636363636363634,0.3109090909090909
2020-11-09,0.3428895367670878,0.17228701004211208,0.3428895367670878,0.17228701004211208
2020-11-10,0.2788171772978403,0.11171766002567107,0.2685776470306857,0.10766584551114937
2020-11-11,0.3944745152108166,0.1347719860048627,0.3975575223862895,0.13089233825535196
2020-11-12,0.3378981867189414,0.13029128889977948,0.3378981867189414,0.13029128889977948
2020-11-13,0.34814814814814815,0.13506944444444444,0.2925925925925926,0.12118055555555556
2020-11-14,0.19051982963273287,0.13780111018014246,0.19051982963273287,0.13780111018014246
2020-11-15,0.4,0.20277777777777778,0.4,0.19444444444444445
2020-11-16,0.40753367003367,0.09869528619528621,0.40753367003367,0.09869528619528621
2020-11-17,0.31387952559300875,0.14118005901713768,0.3183739076154807,0.12413886051526501
2020-11-18,0.42797097480832424,0.203645940295272,0.4309830230010953,0.17764238773274918
2020-11-19,0.2919502081571047,0.1710685259823191,0.3112943059494783,0.14263339470236022
2020-11-20,0.34671060606060605,0.2727425865800866,0.3403772727272727,0.27004119769119767
2020-11-21,0.2941427761580823,0.12144274376417233,0.2912091026886945,0.11765873015873017
2020-11-22,0.30509259259259264,0.21481481481481482,0.30509259259259264,0.21203703703703702
2020-11-23,0.3001736111111111,0.16179591049382716,0.2987847222222222,0.15709876543209877
2020-11-24,0.20133928571428572,0.14444754464285714,0.13883928571428572,0.12868303571428572
2020-11-25,0.19861111111111113,0.1,0.19861111111111113,0.1
2020-11-26,0.24243551587301587,0.20944940476190477,0.24243551587301587,0.20944940476190477
2020-11-27,0.3475106837606838,0.11324786324786326,0.3475106837606838,0.10686965811965812
2020-11-28,0.13240740740740742,0.16944444444444443,0.13240740740740742,0.16944444444444443
2020-11-29,0.016666666666666666,0.049999999999999996,0.016666666666666666,0.049999999999999996
2020-11-30,0.016666666666666666,0.049999999999999996,0.016666666666666666,0.049999999999999996
2020-12-01,0.25945621177764033,0.15169655741084315,0.26648332817975673,0.14694882498453926
2020-12-02,0.30856503176090805,0.09183067791315212,0.30856503176090805,0.09183067791315212
2020-12-03,0.31293520309477757,0.3096228239845261,0.31293520309477757,0.2915377176015474
2020-12-04,0.2069187675070028,0.11725490196078432,0.2069187675070028,0.11725490196078432
2020-12-05,0.26878109452736315,0.225599276345545,0.26878109452736315,0.225599276345545
2020-12-06,0.24675324675324675,0.13104256854256854,0.24675324675324675,0.12860750360750361
2020-12-07,0.2622209941358878,0.14599183322587578,0.24189002486874828,0.15012894906511928
2020-12-08,0.25013535166132567,0.16715940715129027,0.25013535166132567,0.16671666807218755
2020-12-09,0.30108225108225106,0.1062049062049062,0.30108225108225106,0.1062049062049062
2020-12-10,0.46876121212121213,0.14995242424242422,0.46876121212121213,0.14711757575757575
2020-12-11,0.30780419824960054,0.15916893345054264,0.31000939194904714,0.15364917649400409
2020-12-12,0.48022556390977444,0.30700501253132834,0.48022556390977444,0.2998997493734336
2020-12-13,0.41838735494197676,0.2124699879951981,0.41838735494197676,0.20396158463385355
2020-12-14,0.30679621738215485,0.11875383297258296,0.30959383642977395,0.11452392225829726
2020-12-15,0.38354356966797154,0.21332463389879658,0.38354356966797154,0.20184138031027984
2020-12-16,0.22166666666666668,0.03333333333333333,0.12166666666666666,0.008333333333333333
